Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR008453,2014-04-02 23:24:41,2014-04-02 23:24:41,1557908,233686200,1557908,150,93,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008453/DRR008453.sra,DRX007641,168-E,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007582,SAMD00008609,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007582,,,,,,,no,,,,,TUAGRI,DRA000969,,public,6E45CAE49F3C96BE720229E5CDCE1B22,85594D7D57B3E004AA5EC1CDFFF194E5
DRR008454,2014-04-02 23:24:41,2014-04-02 23:24:41,2043761,306564150,2043761,150,122,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008454/DRR008454.sra,DRX007642,168-F,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007583,SAMD00008601,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007583,,,,,,,no,,,,,TUAGRI,DRA000969,,public,EE05DB67938A4883AAA0E15A4F48309A,1609A9894A5220A7D0CDCC6862D64664
DRR008455,2014-04-02 23:24:41,2014-04-02 23:24:41,2083371,312505650,2083371,150,125,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008455/DRR008455.sra,DRX007643,BGSC-G,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007584,SAMD00008605,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007584,,,,,,,no,,,,,TUAGRI,DRA000969,,public,CA8FCA9E31178EE1B1AF1A1415AE73D4,734F25D1EF339A2BC8FF304B4564C4FC
DRR008456,2014-04-02 23:24:41,2014-04-02 23:24:41,2478100,371715000,2478100,150,153,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008456/DRR008456.sra,DRX007644,BGSC-H,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007585,SAMD00008607,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007585,,,,,,,no,,,,,TUAGRI,DRA000969,,public,FF39F931F802CF2FD8B20CEB8892E97C,B50F744CD7BA5E02F0F54EE34C4A3BCB
DRR008457,2014-04-02 23:24:41,2014-04-02 23:24:41,2003708,300556200,2003708,150,125,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008457/DRR008457.sra,DRX007645,BGSC-C,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007586,SAMD00008608,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007586,,,,,,,no,,,,,TUAGRI,DRA000969,,public,8EF17C785D1680B802CD440A7DE210BD,685C33E414EE5566ED1DA12FECE08351
DRR008458,2014-04-02 23:24:41,2014-04-02 23:24:41,1724471,313853722,1724471,182,144,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR008/DRR008458/DRR008458.sra,DRX007646,BGSC-I,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,DRP001007,PRJDB1076,0,237597,DRS007587,SAMD00008602,224308,Bacillus subtilis subsp. subtilis str. 168,DRS007587,,,,,,,no,,,,,TUAGRI,DRA000969,,public,1384C30F9DF8FCBD0850782D6F71773C,414689693F3520C35BC65967DA7A93E6
DRR014327,2014-05-14 12:40:27,2014-05-14 12:40:27,1445035,262996370,1445035,182,120,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR014/DRR014327/DRR014327.sra,DRX012853,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,DRP001276,PRJDB1969,0,246901,DRS012650,SAMD00003830,224308,Bacillus subtilis subsp. subtilis str. 168,DRS012650,,,,,,,no,,,,,TUAGRI,DRA001211,,public,30A841C7505A2335AA3E132BBE90C90F,4C7A9F5BF920C80A8FC854B59D2834DE
DRR014328,2014-05-14 12:40:27,2014-05-14 12:40:27,1585035,288476370,1585035,182,133,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR014/DRR014328/DRR014328.sra,DRX012854,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,DRP001276,PRJDB1969,0,246901,DRS012651,SAMD00003833,224308,Bacillus subtilis subsp. subtilis str. 168,DRS012651,,,,,,,no,,,,,TUAGRI,DRA001211,,public,B511A761DED9352D7B45EA3AC50CA0CD,FFC8D5629FB700F581C736E44A22F67F
DRR014329,2014-05-14 12:40:27,2014-05-14 12:40:27,2212974,402761268,2212974,182,185,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR014/DRR014329/DRR014329.sra,DRX012855,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,DRP001276,PRJDB1969,0,246901,DRS012652,SAMD00003831,224308,Bacillus subtilis subsp. subtilis str. 168,DRS012652,,,,,,,no,,,,,TUAGRI,DRA001211,,public,D01424BA42C205804DC120A6CE2D1FE9,4740D2FB14679AA3F659426B6281A4CE
DRR014330,2014-05-14 12:40:27,2014-05-14 12:40:27,3069001,558558182,3069001,182,256,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR014/DRR014330/DRR014330.sra,DRX012856,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,DRP001276,PRJDB1969,0,246901,DRS012653,SAMD00003832,224308,Bacillus subtilis subsp. subtilis str. 168,DRS012653,,,,,,,no,,,,,TUAGRI,DRA001211,,public,19B43E7E6AE82AF2C475319DFBD070C0,C02F0F22FF7CD4BBAFC61D810070FB82
DRR014331,2014-05-14 12:40:27,2014-05-14 12:40:27,2966300,539866600,2966300,182,250,,ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/DRR/DRR014/DRR014331/DRR014331.sra,DRX012857,,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer II,DRP001276,PRJDB1969,0,246901,DRS012654,SAMD00003829,224308,Bacillus subtilis subsp. subtilis str. 168,DRS012654,,,,,,,no,,,,,TUAGRI,DRA001211,,public,51A9034FB1385876EFB5F7F95DF39873,474C3FE09E8909CA6F005CD73104A11F
